지역,평균기온,최고기온,최저기온,평균습도,강수량,평균풍속,LAT,LON
서울,12.5,17,8.6,64.4,1450.5,2.3,37.541,126.986
부산,14.7,18.9,11.3,64.7,1519.1,3.7,35.183759,129.075469
대구,14.1,19.5,9.5,61.6,1064.4,2.7,35.871449,128.601424
인천,12.1,16.4,8.7,68.6,1234.4,2.9,37.456223,126.705173
광주,13.8,19.1,9.5,69.5,1391,2.1,35.160077,126.851467
대전,13,18.4,8.3,66.7,1458.7,1.9,36.350416,127.384515
울산,14.1,19.2,9.8,64.2,1277.1,2.1,35.538735,129.31138
수원,12,17.2,7.5,69.6,1312.3,1.7,37.274614,127.009509
춘천,11.1,17.2,5.9,71,1347.3,1.3,37.886296,127.730099
청주,12.5,18.2,7.6,67.7,1239.1,1.8,36.635577,127.49137
전주,13.3,"18,9",8.6,69.4,1313.1,1.6,35.821001,127.11138
창원,14.9,19.4,11.1,63.8,1545.4,2.2,35.238294,128.692377
제주,15.5,18.7,12.4,73.3,1456.9,3.8,33.489013,126.49834
